,代码,名称,盈利额
731,002656,ST摩登,10524.0
732,300845,捷安高科,10507.0
733,300301,长方集团,10494.0
734,688030,山石网科,10492.0
735,601888,中国中免,10486.0
736,301011,华立科技,10476.0
737,600122,ST宏图,10444.0
738,600884,杉杉股份,10428.0
739,300921,南凌科技,10418.0
740,603997,继峰股份,10413.0
741,688323,瑞华泰,10404.0
742,300662,科锐国际,10404.0
743,600416,湘电股份,10404.0
744,002756,永兴材料,10396.0
745,603218,日月股份,10391.0
746,300741,华宝股份,10370.0
747,000679,大连友谊,10369.0
748,688159,有方科技,10365.0
749,000729,燕京啤酒,10361.0
750,002633,申科股份,10359.0
751,600258,首旅酒店,10350.0
752,002398,垒知集团,10345.0
753,300014,亿纬锂能,10341.0
754,301028,东亚机械,10340.0
755,600228,返利科技,10331.0
756,600885,宏发股份,10312.0
757,601000,唐山港,10291.0
758,300429,强力新材,10283.0
759,001211,双枪科技,10280.0
760,605228,神通科技,10275.0
761,300634,彩讯股份,10273.0
762,688080,映翰通,10264.0
763,600562,国睿科技,10259.0
764,600816,ST安信,10246.0
765,688776,国光电气,10244.0
766,300992,泰福泵业,10234.0
767,603033,三维股份,10230.0
768,300006,莱美药业,10225.0
769,002249,大洋电机,10223.0
770,000888,峨眉山A,10214.0
771,002848,高斯贝尔,10206.0
772,300584,海辰药业,10202.0
773,002287,奇正藏药,10180.0
774,600073,上海梅林,10179.0
775,300727,润禾材料,10169.0
776,600237,铜峰电子,10161.0
777,000831,五矿稀土,10155.0
778,688051,佳华科技,10154.0
779,603896,寿仙谷,10150.0
780,605178,时空科技,10149.0
781,002890,弘宇股份,10142.0
782,300606,金太阳,10108.0
783,300222,科大智能,10107.0
784,688567,孚能科技,10092.0
785,300871,回盛生物,10084.0
786,300498,温氏股份,10084.0
787,300312,*ST邦讯,10073.0
788,600570,恒生电子,10030.0
789,300998,宁波方正,10030.0
790,688300,联瑞新材,10023.0
791,300506,名家汇,10022.0
792,603859,能科科技,10020.0
793,603958,哈森股份,10017.0
794,688090,瑞松科技,10016.0
795,300324,旋极信息,10014.0
796,600694,大商股份,9984.0
797,300916,朗特智能,9981.0
798,600559,老白干酒,9966.0
799,688272,富吉瑞,9963.0
800,600566,济川药业,9958.0
801,002328,新朋股份,9946.0
802,002284,亚太股份,9932.0
803,603855,华荣股份,9927.0
804,300423,昇辉科技,9913.0
805,300883,龙利得,9912.0
806,000021,深科技,9909.0
807,601258,庞大集团,9892.0
808,300999,金龙鱼,9892.0
809,002638,勤上股份,9885.0
810,300540,深冷股份,9883.0
811,300178,*ST腾邦,9881.0
812,300546,雄帝科技,9867.0
813,300215,电科院,9856.0
814,300235,方直科技,9839.0
815,300772,运达股份,9821.0
816,300436,广生堂,9791.0
817,603926,铁流股份,9784.0
818,300611,美力科技,9780.0
819,300276,三丰智能,9775.0
820,600967,内蒙一机,9770.0
821,603223,恒通股份,9768.0
822,300336,新文化,9760.0
823,300824,北鼎股份,9749.0
824,300112,万讯自控,9749.0
825,688698,伟创电气,9741.0
826,600866,星湖科技,9737.0
827,002861,瀛通通讯,9735.0
828,002100,天康生物,9734.0
829,300870,欧陆通,9730.0
830,300009,安科生物,9729.0
831,300949,奥雅设计,9724.0
832,300323,华灿光电,9716.0
833,300913,兆龙互连,9714.0
834,002527,新时达,9707.0
835,300039,上海凯宝,9695.0
836,300499,高澜股份,9687.0
837,002841,视源股份,9686.0
838,300603,立昂技术,9659.0
839,603768,常青股份,9657.0
840,002724,海洋王,9647.0
841,300360,炬华科技,9646.0
842,300625,三雄极光,9640.0
843,300297,蓝盾股份,9630.0
844,300063,天龙集团,9614.0
845,300311,任子行,9609.0
846,300322,硕贝德,9600.0
847,603991,至正股份,9600.0
848,300703,创源股份,9600.0
849,600420,国药现代,9591.0
850,000607,华媒控股,9590.0
851,300025,华星创业,9580.0
852,600870,*ST厦华,9550.0
853,000155,川能动力,9547.0
854,600584,长电科技,9546.0
855,603383,顶点软件,9527.0
856,300765,新诺威,9518.0
857,300269,ST联建,9496.0
858,300923,研奥股份,9483.0
859,002611,东方精工,9470.0
860,003019,宸展光电,9469.0
861,600718,东软集团,9466.0
862,600373,中文传媒,9465.0
863,002504,ST弘高,9457.0
864,300418,昆仑万维,9451.0
865,300254,仟源医药,9441.0
866,300616,尚品宅配,9438.0
867,300181,佐力药业,9432.0
868,600366,宁波韵升,9416.0
869,300304,云意电气,9401.0
870,605183,确成股份,9396.0
871,300370,ST安控,9395.0
872,300518,盛讯达,9384.0
873,300295,三六五网,9378.0
874,300810,中科海讯,9366.0
