trade_date,pb1220,pb1098,pb976,pb854,pb732,pb610,pb488,pb366,pb244,pb122,pb1,min1,min2,min3,max1,max2,max3,close
20060207,2.6392,2.4453,2.3358,2.3711,2.4147,2.3374,2.0545,1.5585,1.2714,1.1938,1.0776,1.1938,1.2714,1.5585,2.6392,2.4453,2.4147,3.81
20060208,2.6371,2.4417,2.3346,2.3701,2.4134,2.3336,2.0496,1.5541,1.2698,1.1921,1.0978,1.1921,1.2698,1.5541,2.6371,2.4417,2.4134,3.83
20060209,2.6349,2.438,2.3334,2.3691,2.4121,2.3297,2.0444,1.5497,1.2683,1.1901,1.1036,1.1901,1.2683,1.5497,2.6349,2.438,2.4121,3.76
20060210,2.6327,2.4343,2.3322,2.3678,2.4108,2.3256,2.0393,1.5455,1.2669,1.1878,1.0834,1.1878,1.2669,1.5455,2.6327,2.4343,2.4108,3.75
20060213,2.6305,2.4307,2.3309,2.3664,2.4094,2.3212,2.0342,1.5412,1.2657,1.1856,1.0805,1.1856,1.2657,1.5412,2.6305,2.4307,2.4094,3.71
20060214,2.6283,2.4272,2.3298,2.365,2.4081,2.3169,2.029,1.5368,1.2645,1.1828,1.069,1.1828,1.2645,1.5368,2.6283,2.4272,2.4081,3.67
20060215,2.6261,2.4236,2.3286,2.3636,2.4067,2.3124,2.0236,1.5323,1.2633,1.1797,1.0575,1.1797,1.2633,1.5323,2.6261,2.4236,2.4067,3.65
20060216,2.624,2.4202,2.3275,2.362,2.4054,2.3079,2.0185,1.5279,1.2621,1.1767,1.0517,1.1767,1.2621,1.5279,2.624,2.4202,2.4054,3.5
20060217,2.6219,2.4165,2.3263,2.3605,2.404,2.3034,2.0133,1.5233,1.2605,1.1732,1.0085,1.1732,1.2605,1.5233,2.6219,2.4165,2.404,3.43
20060220,2.6198,2.4129,2.3251,2.3589,2.4027,2.2989,2.0073,1.5187,1.2588,1.1694,0.9883,1.1694,1.2588,1.5187,2.6198,2.4129,2.4027,3.45
20060221,2.6176,2.4093,2.3238,2.3573,2.4013,2.2943,2.0013,1.5144,1.2572,1.166,0.9941,1.166,1.2572,1.5144,2.6176,2.4093,2.4013,3.65
20060222,2.6155,2.4056,2.3226,2.3559,2.4001,2.2899,1.9955,1.5106,1.2559,1.1628,1.0517,1.1628,1.2559,1.5106,2.6155,2.4056,2.4001,3.54
20060223,2.6134,2.4018,2.3215,2.3543,2.3988,2.2854,1.9895,1.5066,1.2544,1.1595,1.02,1.1595,1.2544,1.5066,2.6134,2.4018,2.3988,3.64
